time_sec,peak
26400,0
27600,0
28800,0
30000,0
31200,0
32400,0
33300,0
34200,0
35100,0
36000,0
36900,0
37800,0
38700,0
39600,0
40500,0
41400,0
42300,0
43200,0
44400,0
45600,0
46800,0
48000,0
49200,0
50400,0
51600,0
52800,0
54000,0
55200,0
56400,0
57600,0
58800,0
60000,0
61200,0
62400,0
63600,0
64800,0
65700,0
66600,0
67500,0
68400,0
69600,0
70800,0
72000,0
73200,0
74400,0
75600,0
76800,0
78000,0
79200,0
80400,0
