# index,lng,lat,time
7.200000000000000000e+01,1.139985289503350003e+02,2.260629192457719938e+01,7.917102137767220427e+01
7.300000000000000000e+01,1.139986840629800042e+02,2.260672242242119978e+01,7.082978723404255561e+01
7.400000000000000000e+01,1.139987733437830002e+02,2.260727477160930121e+01,6.454597701149425859e+01
7.500000000000000000e+01,1.139988203773090021e+02,2.260761969143980110e+01,5.604358974358974166e+01
7.600000000000000000e+01,1.139988435760839991e+02,2.260784557645740023e+01,5.199264705882352899e+01
7.700000000000000000e+01,1.139988914830550044e+02,2.260816069611090029e+01,4.478187919463087496e+01
7.800000000000000000e+01,1.139986528481900052e+02,2.260855499941359881e+01,3.647471910112359694e+01
7.900000000000000000e+01,1.139984999553129938e+02,2.260891116850759985e+01,2.923076923076922995e+01
8.000000000000000000e+01,1.139983506288379971e+02,2.260929608939009938e+01,2.220901639344262435e+01
8.100000000000000000e+01,1.139982428507789933e+02,2.260958831664349944e+01,1.618995633187772754e+01
8.200000000000000000e+01,1.139980770858419987e+02,2.260986029805249942e+01,1.006301369863013662e+01
8.300000000000000000e+01,1.139978754770030065e+02,2.261014649103200114e+01,7.211309523809523725e+00
8.400000000000000000e+01,1.139977015297910015e+02,2.261048759541419884e+01,1.415094339622641473e-01
8.500000000000000000e+01,1.139974637283289951e+02,2.261068064422699919e+01,5.833333333333333703e-01
