# index,lng,lat,time
5.600000000000000000e+01,1.139944632056160003e+02,2.260402142372580059e+01,5.124294605809128598e+02
5.700000000000000000e+01,1.139940430799100000e+02,2.260442427094750073e+01,5.254806629834254181e+02
5.800000000000000000e+01,1.139937426996770000e+02,2.260499081032330082e+01,5.543393863494051175e+02
5.900000000000000000e+01,1.139934575333900000e+02,2.260544716672779941e+01,5.940407303370786849e+02
6.000000000000000000e+01,1.139941026453700061e+02,2.260578557216700091e+01,5.846985559566786606e+02
6.100000000000000000e+01,1.139947875153769985e+02,2.260617207105839910e+01,5.896966019417475309e+02
6.200000000000000000e+01,1.139950896891009933e+02,2.260629423695910134e+01,6.004917491749174587e+02
6.300000000000000000e+01,1.139954398084669975e+02,2.260636794505269975e+01,6.070983606557376788e+02
6.400000000000000000e+01,1.139957593138500016e+02,2.260635654320629939e+01,6.109781931464174249e+02
6.500000000000000000e+01,1.139960683648530022e+02,2.260629505806279838e+01,6.170042918454935261e+02
6.600000000000000000e+01,1.139963575852339943e+02,2.260617961318950009e+01,6.298385964912280315e+02
6.700000000000000000e+01,1.139965965973329958e+02,2.260609416889429824e+01,6.306625514403292527e+02
6.800000000000000000e+01,1.139968454532399988e+02,2.260600347139680011e+01,6.562777777777778283e+02
6.900000000000000000e+01,1.139970904176310000e+02,2.260590844681830092e+01,6.368854166666666288e+02
7.000000000000000000e+01,1.139973432011749992e+02,2.260582048130919830e+01,6.563500000000000227e+02
7.100000000000000000e+01,1.139975401516570059e+02,2.260579415024750105e+01,6.536732026143790790e+02
7.200000000000000000e+01,1.139977362855949963e+02,2.260576006681699823e+01,6.960209424083769818e+02
7.300000000000000000e+01,1.139979350972990062e+02,2.260582864468209863e+01,6.544550561797752835e+02
7.400000000000000000e+01,1.139981416040480013e+02,2.260589483846580094e+01,6.677797619047619264e+02
7.500000000000000000e+01,1.139982781439200039e+02,2.260600938848480013e+01,6.841844494892168314e+02
7.600000000000000000e+01,1.139979311907869999e+02,2.260599617692010099e+01,7.036510263929618532e+02
7.700000000000000000e+01,1.139975511901010066e+02,2.260596774438269918e+01,7.066636636636636695e+02
7.800000000000000000e+01,1.139974087490130046e+02,2.260602403222510048e+01,7.113434343434342964e+02
7.900000000000000000e+01,1.139972414812410051e+02,2.260608226060760018e+01,7.255726495726495386e+02
8.000000000000000000e+01,1.139970944821370011e+02,2.260613472094500054e+01,7.212542372881356414e+02
8.100000000000000000e+01,1.139968836360129956e+02,2.260620376356149919e+01,7.379520661157024506e+02
